id,name,email,city,interest,created_at
"89de5205-4c2f-4af3-9f1f-8d42a06c5978","jane test","shortymaq+76@gmail.com","culver city","Events","2026-06-10T01:49:13.893445+00:00"
"ae7214a7-9311-4cee-b974-4ee5d843b2ab","test male","shortymaq+32@gmail.com","torrance","Events","2026-06-09T19:15:59.697637+00:00"
"503af4eb-e5e7-4f6b-bdd0-f7a1b7d4640a","michael","shortymaq+17@gmail.com","los angeles","Events","2026-06-09T16:21:43.851265+00:00"
"ef9c325c-1f0b-4f03-9f13-1dd0d825faef","Michael Quarker","michaelaquarker+4@gmail.com","Mesa","Events","2026-06-04T07:00:12.521526+00:00"
"0ea07604-1871-4f1c-a75f-98a7591cc8bf","michael","shortymaq+1@gmail.com","los angeles","Events","2026-06-04T06:58:14.839415+00:00"
"a0336e5a-43a1-4300-a99f-16a273e45829","Michael Quarker","michaelaquarker+5@gmail.com","Mesa","Events","2026-06-04T05:21:45.882693+00:00"
"ea140a9e-79f0-4c23-a289-b3154ae1b71e","Michael Quarker","michaelaquarker+3@gmail.com","Los Angeles","Events","2026-06-04T05:00:15.691055+00:00"
"bba848e1-e1a5-4b25-acf5-dedc5408202b","Michael Quarker","michaelaquarker+2@gmail.com","Los Angeles","Events","2026-06-03T20:19:48.079751+00:00"
"eebe16fb-ec7b-4bc9-b1cc-3e5bd65537a5","Michael Quarker","michaelaquarker@gmail.com","Los Angeles","Events","2026-05-27T01:21:09.141104+00:00"
"f9e7ef45-1b89-46e3-8526-d8b27bedb7d8","Michael Quarker","shortymaq@gmail.com","Los Angeles","Events","2026-05-19T19:28:40.188128+00:00"
"6d584eb6-4d0b-4a39-a73b-0f82970c8b53","Michael Quarker","shortymaq@yahoo.com","Los Angeles","Events","2026-05-19T16:54:20.346994+00:00"
